event_name,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_1_source_unit,mass_2_source,mass_2_source_lower,mass_2_source_upper,mass_2_source_unit,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,network_matched_filter_snr_unit,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,luminosity_distance_unit,chi_eff,chi_eff_lower,chi_eff_upper,chi_eff_unit,total_mass_source,total_mass_source_lower,total_mass_source_upper,total_mass_source_unit,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass_source_unit,chirp_mass,chirp_mass_lower,chirp_mass_upper,chirp_mass_unit,redshift,redshift_lower,redshift_upper,redshift_unit,far,far_lower,far_upper,far_unit,p_astro,p_astro_lower,p_astro_upper,p_astro_unit,final_mass_source,final_mass_source_lower,final_mass_source_upper,final_mass_source_unit
GW200128_022011-v1,GW200128_022011,1,GWTC-3-confident,1264213229.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200128_022011/v1,42.2,-8.1,11.6,M_sun,32.6,-9.2,9.5,M_sun,10.6,-0.4,0.3,,3400.0,-1800.0,2100.0,Mpc,0.12,-0.25,0.24,,75.0,-12.0,17.0,M_sun,32.0,-5.5,7.5,M_sun,,,,,0.56,-0.28,0.28,,0.0043,,,1/yr,0.99,,,,71.0,-11.0,16.0,M_sun
200121_031748-v1,200121_031748,1,GWTC-3-marginal,1263611886.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-marginal/200121_031748/v1,,,,,,,,,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,1/yr,0.23,,,,,,,
GW200115-v1,GW200115_042309,1,O3_Discovery_Papers,1263097407.7,/o3_eventdata_docs/,https://gwosc.org/eventapi/json/O3_Discovery_Papers/GW200115_042309/v1,5.7,-2.1,1.8,M_sun,1.5,-0.3,0.7,M_sun,11.6,,,,300.0,-100.0,150.0,Mpc,-0.19,-0.35,0.23,,7.1,-1.4,1.5,M_sun,2.42,-0.07,0.05,M_sun,2.58,-0.01,0.01,M_sun,0.07,-0.02,0.03,,1e-05,,,1/yr,,,,,,,,
GW200115_042309-v2,GW200115_042309,2,GWTC-3-confident,1263097407.7,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200115_042309/v2,5.9,-2.5,2.0,M_sun,1.44,-0.28,0.85,M_sun,11.3,-0.5,0.3,,290.0,-100.0,150.0,Mpc,-0.15,-0.42,0.23,,7.4,-1.7,1.7,M_sun,2.43,-0.07,0.05,M_sun,,,,,0.06,-0.02,0.03,,1e-05,,,1/yr,0.99,,,,7.2,-1.7,1.8,M_sun
200114_020818-v1,200114_020818,1,O3_IMBH_marginal,1263002916.2,/O3_IMBH_marginal/,https://gwosc.org/eventapi/json/O3_IMBH_marginal/200114_020818/v1,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,,,1/yr,,,,,,,,
GW200112_155838-v1,GW200112_155838,1,GWTC-3-confident,1262879936.0,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200112_155838/v1,35.6,-4.5,6.7,M_sun,28.3,-5.9,4.4,M_sun,19.8,-0.2,0.1,,1250.0,-460.0,430.0,Mpc,0.06,-0.15,0.15,,63.9,-4.6,5.7,M_sun,27.4,-2.1,2.6,M_sun,,,,,0.24,-0.08,0.07,,1e-05,,,1/yr,0.99,,,,60.8,-4.3,5.3,M_sun
GW200105-v1,GW200105_162426,1,O3_Discovery_Papers,1262276684.0,/o3_eventdata_docs/,https://gwosc.org/eventapi/json/O3_Discovery_Papers/GW200105_162426/v1,8.9,-1.5,1.2,M_sun,1.9,-0.2,0.3,M_sun,13.9,,,,280.0,-110.0,110.0,Mpc,-0.01,-0.15,0.11,,10.9,-1.2,1.1,M_sun,3.41,-0.07,0.08,M_sun,3.62,-0.01,0.01,M_sun,0.06,-0.02,0.02,,0.36,,,1/yr,,,,,,,,
GW200105_162426-v2,GW200105_162426,2,GWTC-3-marginal,1262276684.0,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-marginal/GW200105_162426/v2,9.1,-1.7,1.7,M_sun,1.91,-0.24,0.33,M_sun,13.7,-0.4,0.2,,270.0,-110.0,120.0,Mpc,0.0,-0.18,0.13,,11.0,-1.4,1.5,M_sun,3.42,-0.08,0.08,M_sun,,,,,0.06,-0.02,0.02,,0.2,,,1/yr,0.362,,,,10.8,-1.4,1.5,M_sun
GW191230_180458-v1,GW191230_180458,1,GWTC-3-confident,1261764316.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191230_180458/v1,49.4,-9.6,14.0,M_sun,37.0,-12.0,11.0,M_sun,10.4,-0.4,0.3,,4300.0,-1900.0,2100.0,Mpc,-0.05,-0.31,0.26,,86.0,-12.0,19.0,M_sun,36.5,-5.6,8.2,M_sun,,,,,0.69,-0.27,0.26,,0.05,,,1/yr,0.96159,,,,82.0,-11.0,17.0,M_sun
191225_215715-v1,191225_215715,1,O3_IMBH_marginal,1261346253.9,/O3_IMBH_marginal/,https://gwosc.org/eventapi/json/O3_IMBH_marginal/191225_215715/v1,,,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,1/yr,,,,,,,,
