event_name,GPS,mass_1_source,mass_2_source,total_mass,chirp_mass,distance_mpc,snr,false_alarm_rate,catalog,commonName,event_date,event_year,event_type,observing_run,mass_bin,distance_bin,mass_ratio,high_confidence
GW190413_134308-v2,1239198206.7,51.3,30.4,81.3,33.3,3800.0,10.6,0.18,GWTC-2.1-confident,GW190413_134308,2019-04-13,2019,BBH,O3a,60–100,2k–5k,0.5925925925925926,False
GW190421_213856-v2,1239917954.2,42.0,32.0,73.6,31.4,2590.0,10.7,0.0028,GWTC-2.1-confident,GW190421_213856,2019-04-21,2019,BBH,O3a,60–100,2k–5k,0.7619047619047619,False
GW190421_213856-v3,1239917954.2,43.0,31.0,74.0,31.0,2800.0,10.5,0.001,IAS-O3a,GW190421_213856,2019-04-21,2019,BBH,O3a,60–100,2k–5k,0.7209302325581395,False
GW190421_213856-v1,1239917954.3,41.3,31.9,72.9,31.2,2880.0,10.55069569549375,0.0007738314255311,GWTC-2,GW190421_213856,2019-04-21,2019,BBH,O3a,60–100,2k–5k,0.7723970944309928,False
GW190424_180648-v1,1240164426.1,40.5,31.8,72.6,31.0,2200.0,10.0939769744873,0.7822864941910456,GWTC-2,GW190424_180648,2019-04-24,2019,BBH,O3a,60–100,2k–5k,0.7851851851851852,False
GW190424_180648-v2,1240164426.1,,,,,,10.0939769744873,9.03878554692412,GWTC-2.1-auxiliary,GW190424_180648,2019-04-24,2019,Unknown,O3a,,,,False
GW190425_081805-v3,1240215503.0,2.1,1.3,3.4,1.44,150.0,12.4,0.034,GWTC-2.1-confident,GW190425,2019-04-25,2019,BNS,O3a,0–10,0–500 Mpc,0.6190476190476191,False
GW190425-v2,1240215503.0,2.0,1.4,3.4,1.44,160.0,13.02922972476558,0.0007518546981126,GWTC-2,GW190425,2019-04-25,2019,BNS,O3a,0–10,0–500 Mpc,0.7,False
GW190425-v1,1240215503.0,1.74,1.56,3.3,1.44,159.0,12.46,,O3_Discovery_Papers,GW190425,2019-04-25,2019,BNS,O3a,0–10,0–500 Mpc,0.896551724137931,False
GW190426_190642-v1,1240340820.6,105.5,76.0,182.3,76.0,4580.0,8.7,4.1,GWTC-2.1-confident,GW190426_190642,2019-04-26,2019,BBH,O3a,100+,2k–5k,0.7203791469194313,False
GW190426_152155-v1,1240327333.3,5.7,1.5,7.2,2.41,370.0,10.12041364677255,1.443741335492165,GWTC-2,GW190426_152155,2019-04-26,2019,NSBH,O3a,0–10,0–500 Mpc,0.2631578947368421,False
GW190426_152155-v2,1240327333.3,,,,,,10.12,0.91,GWTC-2.1-marginal,GW190426_152155,2019-04-26,2019,Unknown,O3a,,,,False
GW190503_185404-v1,1240944862.3,43.3,28.4,71.7,30.2,1450.0,12.20867275049248,1e-05,GWTC-2,GW190503_185404,2019-05-03,2019,BBH,O3a,60–100,1k–2k,0.6558891454965358,False
GW190503_185404-v3,1240944862.3,42.0,31.0,73.0,31.0,1600.0,11.9,0.001,IAS-O3a,GW190503_185404,2019-05-03,2019,BBH,O3a,60–100,1k–2k,0.7380952380952381,False
GW190503_185404-v2,1240944862.2,41.3,28.3,69.4,29.3,1520.0,12.2,1e-05,GWTC-2.1-confident,GW190503_185404,2019-05-03,2019,BBH,O3a,60–100,1k–2k,0.6852300242130751,False
GW190512_180714-v1,1241719652.4,23.3,12.6,35.9,14.6,1430.0,12.26449406234808,1e-05,GWTC-2,GW190512_180714,2019-05-12,2019,BBH,O3a,20–40,1k–2k,0.5407725321888411,False
